line,name,value,domain,subdomain,notes,annual_update,duplicated_at
1490,TAX_BASE_YEAR,2026,fiscal,general,Reference year for indexing,yes,
1491,FED_BRACKETS,"[58523,117045,181440,258482]",fiscal,federal-brackets,4 bracket thresholds,yes,
1492,FED_RATES,"[0.14,0.205,0.26,0.29,0.33]",fiscal,federal-rates,5 marginal rates — 14% base = Bill C-69,yes,
1493,FED_PERSONAL,16452,fiscal,federal-credits,Basic personal amount,yes,
1502,PENSION_CREDIT_MAX,2000,fiscal,federal-credits,Max eligible pension income for 15% credit,rarely,L3888 L4340
1503,TFSA_LIMIT_2026,7000,fiscal,TFSA,Annual TFSA limit,yes,L3803 L3917 L4144 L5113 L5202
1506,CFG_SMOOTH.MELT,0.40,behavior,smoothing,Max year-to-year meltdown change,no,
1507,CFG_SMOOTH.MELT_FLOOR,5000,behavior,smoothing,Min absolute meltdown change ($),no,
1508,CFG_SMOOTH.SPEND,0.30,behavior,smoothing,Max year-to-year spending change,no,
1509,CFG_SMOOTH.SPEND_FLOOR,10000,behavior,smoothing,Min absolute spending change ($),no,
1510,CFG_SMOOTH.BACK,0.40,behavior,smoothing,Backward pass cap,no,
1511,CFG_SMOOTH.BACK_FLOOR,15000,behavior,smoothing,Backward pass min ($),no,
1512,CFG_SMOOTH.NR_OVER,1.5,behavior,smoothing,Max NR withdrawal multiple,no,
1513,CFG_SMOOTH.MC_BLEND,0.70,behavior,smoothing,MC memory weight,no,
1528,QC.b,"[54345,108730,132245]",fiscal,prov-tax,QC bracket thresholds,yes,
1528,QC.r,"[0.14,0.19,0.24,0.2575]",fiscal,prov-tax,QC marginal rates,yes,
1528,QC.pd,18952,fiscal,prov-tax,QC personal deduction,yes,
1528,QC.abate,0.835,fiscal,prov-tax,QC federal abatement (16.5%),rarely,
1528,QC.eligDivCr,0.1118,fiscal,prov-div-credits,QC eligible DTC,yes,
1528,QC.nonEligDivCr,0.039362,fiscal,prov-div-credits,QC non-eligible DTC,yes,
1528,QC.ageAmt,3903,fiscal,prov-credits,QC age amount,yes,
1528,QC.ageThresh,0,fiscal,prov-credits,QC age threshold (no clawback),yes,
1528,QC.penAmt,2918,fiscal,prov-credits,QC pension amount,yes,
1529,ON.b,"[53891,107785,150000,220000]",fiscal,prov-tax,ON bracket thresholds,yes,
1529,ON.r,"[0.0505,0.0915,0.1116,0.1216,0.1316]",fiscal,prov-tax,ON marginal rates,yes,
1529,ON.pd,12091,fiscal,prov-tax,ON personal deduction,yes,
1529,ON.eligDivCr,0.10,fiscal,prov-div-credits,ON eligible DTC,yes,
1529,ON.nonEligDivCr,0.029863,fiscal,prov-div-credits,ON non-eligible DTC,yes,
1529,ON.ageAmt,5286,fiscal,prov-credits,ON age amount,yes,
1529,ON.ageThresh,42335,fiscal,prov-credits,ON age threshold,yes,
1529,ON.penAmt,1580,fiscal,prov-credits,ON pension amount,yes,
1530,BC.b,"[49159,98320,112883,137073,185854,259197]",fiscal,prov-tax,BC bracket thresholds (6),yes,
1530,BC.r,"[0.0506,0.077,0.105,0.1229,0.147,0.168,0.205]",fiscal,prov-tax,BC marginal rates (7),yes,
1530,BC.pd,12901,fiscal,prov-tax,BC personal deduction,yes,
1530,BC.eligDivCr,0.12,fiscal,prov-div-credits,BC eligible DTC,yes,
1530,BC.nonEligDivCr,0.0196,fiscal,prov-div-credits,BC non-eligible DTC,yes,
1530,BC.ageAmt,5766,fiscal,prov-credits,BC age amount,yes,
1530,BC.ageThresh,42660,fiscal,prov-credits,BC age threshold,yes,
1530,BC.penAmt,1000,fiscal,prov-credits,BC pension amount,yes,
1531,AB.b,"[154259,185203,246938,370220]",fiscal,prov-tax,AB bracket thresholds,yes,
1531,AB.r,"[0.1,0.12,0.13,0.14,0.15]",fiscal,prov-tax,AB marginal rates,yes,
1531,AB.pd,22769,fiscal,prov-tax,AB personal deduction,yes,
1531,AB.eligDivCr,0.0812,fiscal,prov-div-credits,AB eligible DTC,yes,
1531,AB.nonEligDivCr,0.0218,fiscal,prov-div-credits,AB non-eligible DTC,yes,
1531,AB.ageAmt,5553,fiscal,prov-credits,AB age amount,yes,
1531,AB.ageThresh,43906,fiscal,prov-credits,AB age threshold,yes,
1531,AB.penAmt,1491,fiscal,prov-credits,AB pension amount,yes,
1532,SK.b,"[54532,155805]",fiscal,prov-tax,SK bracket thresholds,yes,
1532,SK.r,"[0.105,0.125,0.145]",fiscal,prov-tax,SK marginal rates,yes,
1532,SK.pd,20381,fiscal,prov-tax,SK personal deduction,yes,
1532,SK.eligDivCr,0.11,fiscal,prov-div-credits,SK eligible DTC,yes,
1532,SK.nonEligDivCr,0.02105,fiscal,prov-div-credits,SK non-eligible DTC,yes,
1532,SK.ageAmt,5518,fiscal,prov-credits,SK age amount,yes,
1532,SK.penAmt,1000,fiscal,prov-credits,SK pension amount,yes,
1533,MB.b,"[47000,100000]",fiscal,prov-tax,MB bracket thresholds,yes,
1533,MB.r,"[0.108,0.1275,0.174]",fiscal,prov-tax,MB marginal rates,yes,
1533,MB.pd,15780,fiscal,prov-tax,MB personal deduction,yes,
1533,MB.eligDivCr,0.08,fiscal,prov-div-credits,MB eligible DTC,yes,
1533,MB.nonEligDivCr,0.007835,fiscal,prov-div-credits,MB non-eligible DTC,yes,
1533,MB.ageAmt,3728,fiscal,prov-credits,MB age amount,yes,
1533,MB.penAmt,1000,fiscal,prov-credits,MB pension amount,yes,
1534,NB.b,"[51306,102614,190081]",fiscal,prov-tax,NB bracket thresholds,yes,
1534,NB.r,"[0.094,0.14,0.16,0.195]",fiscal,prov-tax,NB marginal rates,yes,
1534,NB.pd,13396,fiscal,prov-tax,NB personal deduction,yes,
1534,NB.eligDivCr,0.14,fiscal,prov-div-credits,NB eligible DTC,yes,
1534,NB.nonEligDivCr,0.027518,fiscal,prov-div-credits,NB non-eligible DTC,yes,
1534,NB.ageAmt,5849,fiscal,prov-credits,NB age amount,yes,
1534,NB.ageThresh,42553,fiscal,prov-credits,NB age threshold,yes,
1534,NB.penAmt,1000,fiscal,prov-credits,NB pension amount,yes,
1535,NS.b,"[30182,60364,94860,153000]",fiscal,prov-tax,NS bracket thresholds,yes,
1535,NS.r,"[0.0879,0.1495,0.1667,0.175,0.21]",fiscal,prov-tax,NS marginal rates,yes,
1535,NS.pd,8651,fiscal,prov-tax,NS personal deduction,yes,
1535,NS.eligDivCr,0.0885,fiscal,prov-div-credits,NS eligible DTC,yes,
1535,NS.nonEligDivCr,0.015,fiscal,prov-div-credits,NS non-eligible DTC (FIXED from 0.021568),yes,
1536,PE.b,"[33538,67079]",fiscal,prov-tax,PE bracket thresholds,yes,
1536,PE.r,"[0.098,0.138,0.167]",fiscal,prov-tax,PE marginal rates,yes,
1536,PE.pd,13865,fiscal,prov-tax,PE personal deduction,yes,
